rpm,P
0,0.0
490.9240924092409,1.338432122370937
2195.13201320132,3.2122370936902485
2728.135313531353,4.550669216061186
3141.914191419142,5.8891013384321225
3527.6402640264023,7.361376673040153
3892.326732673267,9.235181644359464
4200.907590759076,10.707456978967496
4502.475247524752,12.179732313575526
4740.924092409241,13.518164435946463
4972.359735973597,15.258126195028682
5196.782178217822,16.9980879541109
5372.1122112211215,18.47036328871893
5554.455445544554,20.076481835564053
5722.772277227723,21.816443594646273
5884.075907590759,23.2887189292543
6038.366336633663,24.62715105162524
6220.709570957096,26.634799235181646
6445.13201320132,29.177820267686425
6662.541254125413,31.58699808795411
6985.148514851485,35.736137667304014
7279.702970297029,40.4206500956023
7560.23102310231,44.70363288718929
7826.732673267326,49.25430210325048
8142.326732673267,55.54493307839388
8212.458745874586,57.4187380497132
8331.683168316831,59.02485659655832
8415.841584158416,60.63097514340345