generation,pop_index,D,B,hub_radius,number_of_sections,foil_list,chord_list,pitch_list,aerial_rpm,aerial_v_inf,aquatic_rpm,aquatic_v_inf,aerial_T,aerial_Q,aerial_P,aerial_J,aerial_CT,aerial_CQ,aerial_CP,aerial_eta,FM,aerial_fitness,aerial_Q_penalty,aquatic_T,aquatic_Q,aquatic_P,aquatic_J,aquatic_CT,aquatic_CQ,aquatic_CP,aquatic_eta,cavitating_proportion,QI,aquatic_fitness,cavitation_penalty,aquatic_Q_penalty
,,0.254,2,0.00825,20,NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.017358183020127822;0.017358183020127822;0.020998601347939985;0.03081011777990237;0.04081011777990237;0.050810117779902374;0.060810117779902376;0.07081011777990237;0.08081011777990237;0.08871615330843378;0.09871615330843378;0.10871615330843377;0.11871615330843377;0.12871615330843378;0.1387161533084338;0.1487161533084338;0.1499995295127661;0.1499995295127661;0.1399995295127661,14.334453257213733;14.109736026975058;14.255014630020073;13.962266023339403;14.612652167018567;13.947353372273692;13.983405296338328;11.406973631466707;11.406973631466707;8.956381386157934;8.956381386157934;11.421354616746191;10.386070163822493;10.438096735229987;10.438096735229987;10.605479010689365;10.581781965440198;10.210568886292641;10.210568886292641;8.10741797704356,4000.0,0.0,200.0,0.0,20.896924407276423,0.14043006122410046,58.823206491306514,0.0,0.92213378648316,0.024397084562514413,0.15329140326120846,0.0,4.609068509663503,4.609068509663503,0.0,39.10638382835405,0.29197024068329885,6.1150104213166365,0.0,0.8532605112511297,0.025080654162090713,0.1575863977257009,0.0,0.4,3.99065150962293,1.7524849370058522,0.4,0.2680873733775191
,,0.254,2,0.00825,20,E63;E63;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.013011752742433666;0.019281880357305884;0.019281880357305884;0.026785919697033166;0.03678591969703317;0.04678591969703317;0.05678591969703317;0.06678591969703317;0.07678591969703316;0.0843994133718015;0.0943994133718015;0.10439941337180149;0.11439941337180148;0.12439941337180148;0.13254484529313598;0.13857391864922586;0.13752891907132414;0.13752891907132414;0.12752891907132413,12.93251254283298;12.240302611222715;11.702155245803098;11.702155245803098;10.702406544887584;9.04523906072976;9.04523906072976;6.0;6.0;8.70302301654019;8.70302301654019;10.81447467820528;9.924468828326596;9.97649539973409;10.438096735229987;10.605479010689365;10.581781965440198;10.210568886292641;10.210568886292641;8.10741797704356,4000.0,0.0,200.0,0.0,19.617884383804654,0.13330425394958073,55.83835532003613,0.0,0.8656926568259726,0.02315910943712294,0.14551297614269496,0.0,4.416558005200078,4.416558005200078,0.0,36.62056793473874,0.2765514772351615,5.7920805948092555,0.0,0.7990226008994055,0.02375616070431641,0.14926435989235792,0.0,0.4,3.817882289075311,1.7700911445978582,0.4,0.2272805486683503
,,0.254,2,0.00825,20,NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412,0.009645920245539204;0.011477076247846961;0.01580865418880517;0.025552007972178103;0.026785919697033166;0.03678591969703317;0.04678591969703317;0.05678591969703317;0.06678591969703317;0.07678591969703316;0.08187088139798337;0.09187088139798337;0.10187088139798336;0.11187088139798336;0.12187088139798335;0.12857391864922585;0.13857391864922586;0.13752891907132414;0.13752891907132414;0.12752891907132413,11.424607068263299;10.454963527902136;10.25952405275704;11.164007880383481;11.164007880383481;9.506840396225657;9.506840396225657;6.318593585988236;6.318593585988236;9.164624352036087;9.164624352036087;11.276076013701177;10.386070163822493;10.438096735229987;10.438096735229987;10.605479010689365;10.581781965440198;10.210568886292641;10.210568886292641;8.10741797704356,4000.0,0.0,200.0,0.0,19.54887202419071,0.13260467303875256,55.54531555336287,0.0,0.8626472982246474,0.023037570398465407,0.1447493238407532,0.0,4.41645101135729,4.41645101135729,0.0,36.52458293259056,0.275535347056879,5.770798814121368,0.0,0.7969283082548881,0.023668873693402134,0.1487159194278737,0.0,0.4,3.816906153071125,1.7761647203446154,0.4,0.2244308832361983
,,0.254,2,0.00825,20,NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.017090555706817445;0.017090555706817445;0.0265911050122593;0.0265911050122593;0.0365911050122593;0.046591105012259305;0.05502570396009111;0.06172648195955157;0.07172648195955157;0.07783430423476058;0.08783430423476057;0.09783430423476057;0.10783430423476056;0.11783430423476056;0.12783430423476055;0.13783430423476056;0.14783430423476057;0.13783430423476056;0.12783430423476055,13.748948329569009;11.416594837688702;12.025569389474194;11.47175906190634;11.47175906190634;11.01056181083835;11.01056181083835;7.822315000600929;7.822315000600929;9.347867188485194;9.347867188485194;11.046057755068457;9.547077353404282;10.706511894972156;10.706511894972156;10.605479010689365;10.581781965440198;10.449911822278912;10.449911822278912;8.062637020956148,4000.0,0.0,200.0,0.0,19.44366985138574,0.13163998127803075,55.14122641356791,0.0,0.8580049654074254,0.02286997333087222,0.14369628040812532,0.0,4.412952336507382,4.412952336507382,0.0,36.37485828421339,0.2741601061639022,5.741995836212753,0.0,0.7936614725745056,0.023550738567213948,0.1479736545387463,0.0,0.4,3.8124890884259277,1.7830085572691967,0.4,0.220540476350866
,,0.254,2,0.00825,20,E63;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.010686366141293141;0.020000222294551125;0.020000222294551125;0.023536045505410753;0.033536045505410755;0.04353604550541076;0.05353604550541076;0.06353604550541075;0.07353604550541075;0.08353604550541074;0.09353604550541074;0.10353604550541073;0.11353604550541073;0.12353604550541072;0.13353604550541073;0.14353604550541074;0.15353604550541075;0.1470036182766515;0.1370036182766515,11.223472639449952;11.223472639449952;14.408853614021822;14.408853614021822;14.610504616796637;13.563199700533108;13.563199700533108;13.97072986435365;11.947665676677683;9.90761952766876;9.95955754583873;8.655845913668838;7.305040082360051;10.779613071261164;10.816460006369793;10.605479010689365;10.581781965440198;10.462616505479454;9.97122595030637;8.10741797704356,4000.0,0.0,200.0,0.0,20.073610657528185,0.13828263211527247,57.92369348965333,0.0,0.8858028216616272,0.024024009103432508,0.15094730101823575,0.0,4.406769129343798,4.406769129343798,0.0,37.62475627408058,0.28671436329355315,6.004931582678012,0.0,0.8209329432000403,0.024629166904957717,0.15474961962530406,0.0,0.35,3.8350585347583523,1.85794875357683,0.35,0.25467038588744384
,,0.254,2,0.00825,20,E63;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.010647944748337168;0.020647944748337168;0.02403145612341403;0.03403145612341403;0.036322149405061996;0.046322149405062;0.056322149405062;0.066322149405062;0.07632214940506199;0.08632214940506198;0.09632214940506198;0.10632214940506197;0.11461102188435901;0.124611021884359;0.134611021884359;0.144611021884359;0.15461102188435902;0.14843131355748304;0.13843131355748303,14.455741771295028;14.455741771295028;13.426300273399441;13.426300273399441;13.643936251146933;13.33129500557856;12.848317053102164;13.255847216922707;11.23278302924674;9.192736880237817;9.244674898407787;7.940963266237895;6.0;10.393870649403784;10.393870649403784;10.605479010689365;10.581781965440198;10.462616505479454;9.97122595030637;8.10741797704356,4000.0,0.0,200.0,0.0,19.951886324204917,0.1370823283410981,57.42091142045035,0.0,0.8804314034468281,0.023815478875474368,0.14963706695382636,0.0,4.404982237655967,4.404982237655967,0.0,37.29014462945976,0.28416833688602383,5.951607730293079,0.0,0.8136320660794937,0.024410459657036317,0.15337544145859064,0.0,0.3,3.8179155698829836,2.009770660413136,0.3,0.2479925522461634
,,0.254,2,0.00825,20,E63;E63;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.015445287956329917;0.015445287956329917;0.025169053755254932;0.027089531670717048;0.03658904467993762;0.04360080586738348;0.05310031887660405;0.06259983188582462;0.07209934489504517;0.08209934489504517;0.09209934489504516;0.10209934489504516;0.11209934489504515;0.12209934489504515;0.13209934489504516;0.14209934489504517;0.15209934489504517;0.143261739377772;0.133261739377772,12.244177193994938;11.507190029825;11.507190029825;10.604572654341414;10.19705461436092;10.344168458930692;10.344168458930692;8.316058451802245;8.316058451802245;8.047289396409658;10.559964804794559;10.029565163302472;9.139559313423788;10.298993854991663;10.706511894972156;10.605479010689365;10.581781965440198;10.449911822278912;10.449911822278912;8.062637020956148,4000.0,0.0,200.0,0.0,19.377639462371416,0.13237544771020338,55.449297872271295,0.0,0.8550911943922261,0.02299774680460141,0.14449910482090786,0.0,4.3660987698582305,4.3660987698582305,0.0,36.317802218682914,0.2760695221701128,5.78198655153114,0.0,0.7924165687281619,0.023714760086637483,0.14900423213964953,0.0,0.3,3.7772156396371193,2.046676405775739,0.3,0.2259315549420474
,,0.254,2,0.00825,20,E63;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.013637667283865462;0.018374443659903473;0.02837444365990347;0.028516758326898414;0.038516758326898416;0.045897937952253935;0.05589793795225394;0.06589793795225393;0.07589793795225393;0.0835105386064524;0.09351053860645239;0.10045075523381944;0.11045075523381943;0.12045075523381943;0.13045075523381944;0.14045075523381945;0.14471289958979783;0.13471289958979782;0.12471289958979782,10.006651347083977;12.424987983762461;11.248731365025266;12.560943225156256;12.153425185175763;12.300539029745535;12.300539029745535;10.272429022617088;10.272429022617088;10.0036599672245;10.426059312390606;10.029565163302472;9.139559313423788;10.298993854991663;10.706511894972156;10.605479010689365;10.581781965440198;10.449911822278912;10.449911822278912;8.062637020956148,4000.0,0.0,200.0,0.0,19.051638827994648,0.130540062085805,54.68049333972272,0.0,0.8407055272234687,0.022678883037876896,0.14249562468683247,0.0,4.316228081534065,4.316228081534065,0.0,35.720440701077216,0.27228571234814003,5.702738623935869,0.0,0.779382763399825,0.02338972550318841,0.14696197962059707,0.0,0.3,3.73560771210532,2.0522595130959997,0.3,0.2151747371860551
,,0.254,2,0.00825,20,E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.012330219654188311;0.022330219654188313;0.02554395777873736;0.02789375900575508;0.03789375900575508;0.047893759005755085;0.05789375900575509;0.06565346806558416;0.07565346806558415;0.08565346806558415;0.09565346806558414;0.10565346806558414;0.11565346806558413;0.12565346806558414;0.12954199580011058;0.1395419958001106;0.12954199580011058;0.12027788768372757;0.11027788768372758,15.117652647290894;18.0482615826695;13.46757828192809;11.071737921813433;12.71522936059831;14.785973944198659;13.05673333714913;10.203516491176975;10.203516491176975;9.369484296827437;8.037156853103141;6.7334452209332465;6.7334452209332465;10.706511894972156;10.706511894972156;10.605479010689365;10.581781965440198;10.449911822278912;10.449911822278912;8.062637020956148,4000.0,0.0,200.0,0.0,18.423315519041957,0.12542606620869298,52.538347755986244,0.0,0.812979047444539,0.021790422342362798,0.13691326149877173,0.0,4.271826195534839,4.271826195534839,0.0,34.45578490788787,0.26134575174806773,5.473612624924209,0.0,0.7517892928966521,0.022449967506910515,0.14105730598607927,0.0,0.3,3.6871319563181,2.110421015964345,0.3,0.18232186930625638
,,0.254,2,0.00825,20,NACA4412;E63;E63;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.012021991661782477;0.022021991661782477;0.024087775268415886;0.030727046257622816;0.040727046257622815;0.05072704625762282;0.05215298834911709;0.06215298834911709;0.07215298834911708;0.07943788480179385;0.08943788480179385;0.09943788480179384;0.10943788480179384;0.11943788480179383;0.12943788480179383;0.13943788480179384;0.14943788480179385;0.14529409509402252;0.13529409509402252,9.328461376845945;10.286487784373401;12.155665683905582;12.155665683905582;11.296131914704256;8.6812324252337;10.30235336905773;10.30235336905773;11.91074406676113;8.992138932747439;8.42299847988371;7.932173019983813;6.90493468933639;8.353866397909773;10.386525390340648;10.686586338971003;10.686586338971003;10.56114535097219;10.573875597092819;8.062637020956148,4000.0,0.0,200.0,0.0,19.090982071250753,0.13382446774633056,56.056261965658166,0.0,0.8424416551420656,0.023249486809882456,0.14608083392331903,0.0,4.223345109484501,4.223345109484501,0.0,35.74215422423555,0.2771641522274247,5.804912429840804,0.0,0.7798565298301977,0.023808790347525092,0.1495950416932888,0.0,0.25,3.6732030114837273,2.1240608953536353,0.25,0.228988655146268
,,0.254,2,0.00825,20,E63;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;NACA4412,0.00885935363332559;0.016225452360982127;0.016225452360982127;0.02622545236098213;0.026889883297906755;0.03688988329790675;0.046889883297906755;0.05688988329790676;0.06688988329790675;0.07688988329790675;0.08688988329790674;0.09688988329790674;0.10688988329790673;0.11688988329790673;0.12688988329790674;0.1361617128582442;0.1461617128582442;0.1361617128582442;0.12616171285824418;0.11616171285824418,13.048584022019915;10.866931748614851;13.26625097597421;14.191765072439368;14.191765072439368;16.838845385629927;15.317597920987055;12.926073608375443;14.330991775546007;14.330991775546007;14.403582498992275;11.211205446256592;8.811886218897234;11.360323727240722;10.706511894972156;10.605479010689365;10.581781965440198;10.449911822278912;10.449911822278912;8.062637020956148,4000.0,0.0,200.0,0.0,18.92087331477078,0.13219604449718356,55.37414963013083,0.0,0.834935142285456,0.022966578867190585,0.14430327089451306,0.0,4.218353756769811,4.218353756769811,0.0,35.6276562525798,0.27567231879178805,5.7736675434289655,0.0,0.7773583034981233,0.023680639758002404,0.14878984779209345,0.0,0.25,3.6753493402051305,2.1368033520911647,0.25,0.22481623584588584
,,0.254,2,0.00825,20,E63;E63;E63;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;E63;NACA4412,0.0099;0.012330219654188311;0.022330219654188313;0.025015716553550383;0.029127385050591544;0.039127385050591545;0.04912738505059155;0.04943788480179386;0.059437884801793864;0.06943788480179386;0.07943788480179385;0.08943788480179385;0.09943788480179384;0.10943788480179384;0.11943788480179383;0.12943788480179383;0.13943788480179384;0.14943788480179385;0.14529409509402252;0.13529409509402252,15.117652647290894;18.0482615826695;13.2482615826695;12.381855098316173;11.296131914704256;8.6812324252337;10.30235336905773;10.30235336905773;11.923474312881758;9.004869178868068;8.435728726004339;7.944903266104443;6.91766493545702;8.366596644030402;10.399255636461277;10.699316585091632;10.699316585091632;10.573875597092819;10.573875597092819;8.062637020956148,4000.0,0.0,200.0,0.0,18.65058355747403,0.1303936115001818,54.61914826186836,0.0,0.8230078695210066,0.022653440000321164,0.14233576136709225,0.0,4.185352243927183,4.185352243927183,0.0,34.96650132457038,0.27124040916583725,5.68084584528056,0.0,0.7629325924846572,0.023299932490213823,0.14639779348078777,0.0,0.25,3.631907532583989,2.1460482539371957,0.25,0.21215018657689622
,,0.254,2,0.00825,20,E63;E63;E63;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;NACA4412,0.0099;0.011674205803995974;0.013448411607991949;0.017300301725755023;0.026847254083553398;0.03639420644135177;0.044426160003837756;0.05397311236163613;0.0635200647194345;0.0735200647194345;0.08352006471943449;0.09352006471943448;0.10352006471943448;0.11352006471943447;0.12352006471943447;0.13352006471943448;0.13783837149031647;0.13783837149031647;0.12783837149031646;0.11783837149031647,13.635659971196798;13.635659971196798;15.019339053396237;14.208291936867488;16.66342298401468;14.997403860389278;14.997403860389278;15.40493402420982;13.381869836533854;11.341823687524931;11.393761705694901;10.090050073525008;8.194745044545348;10.706511894972156;10.706511894972156;10.605479010689365;10.501709903078705;10.501709903078705;10.421637840717214;7.379325627063755,4000.0,0.0,200.0,0.0,18.3243153128254,0.1278485584236904,53.553078922121486,0.0,0.808610393319088,0.022211284847912866,0.1395576186099867,0.0,4.157148037042486,4.157148037042486,0.0,34.44277156454563,0.2667748847130177,5.587320119844536,0.0,0.7515053553164857,0.02291633766153739,0.14398759608933792,0.0,0.25,3.6100490274827606,2.168838679137065,0.25,0.1989624286259375
,,0.254,2,0.00825,20,E63;E63;E63;E63;E63;E63;E63;E63;E63;E63;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;NACA4412,0.0099;0.011380524670349858;0.01380984790869785;0.0187241632268387;0.028724163226838698;0.0387241632268387;0.048082552815546784;0.058082552815546785;0.06808255281554679;0.07808255281554678;0.08808255281554678;0.09808255281554677;0.10808255281554677;0.11808255281554676;0.12214855433728397;0.13214855433728398;0.142148554337284;0.13214855433728398;0.12214855433728398;0.11214855433728399,12.5731208549094;12.5731208549094;14.542871232167357;12.859470909790115;15.085910278224299;13.419891154598899;13.419891154598899;13.827421318419441;11.804357130743474;9.764310981734551;9.816248999904522;8.512537367734629;7.161731536425842;10.420175949065554;10.64886762777856;10.555630208949822;10.555630208949822;10.33267953672;10.33267953672;6.753557732705734,4000.0,0.0,200.0,0.0,18.01663666039864,0.1253128291639967,52.49091513362197,0.0,0.795033233577651,0.021770749533485675,0.13678965359508402,0.0,4.134897387979862,4.134897387979862,0.0,33.85192704813258,0.2609779268585114,5.465908918451959,0.0,0.7386137441576192,0.022418370831764508,0.14085877822104614,0.0,0.25,3.5956898283182794,2.2081955756025335,0.25,0.1811694256044635
,,0.254,2,0.00825,20,NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;NACA4412;E63;E63;E63;E63;E63;NACA4412,0.0099;0.010318496606434212;0.020318496606434214;0.0249786555135301;0.0249786555135301;0.0349786555135301;0.0449786555135301;0.0549786555135301;0.0649786555135301;0.0749786555135301;0.0849786555135301;0.09497865551353009;0.10417012409347573;0.11417012409347572;0.12417012409347572;0.13417012409347573;0.14417012409347574;0.13763666786095788;0.12763666786095787;0.11763666786095787,13.706338694457097;15.480759020533512;14.433067778469654;14.245058209594799;14.245058209594799;16.573771630755715;14.844531023706187;12.82534637208357;10.55777161078473;10.55777161078473;8.943988905213596;6.2675430991;6.307521781740902;8.478219115317492;10.591223360584967;10.555630208949822;10.555630208949822;10.33267953672;10.33267953672;6.753557732705734,4000.0,0.0,200.0,0.0,17.72486512814689,0.12292444513091055,51.490471169316024,0.0,0.7821580189011021,0.021355812683675618,0.13418252847695009,0.0,4.1132569810589645,4.1132569810589645,0.0,33.19035481883228,0.2564261680810188,5.3705771055434015,0.0,0.7241789280651878,0.022027368353359923,0.13840203719366367,0.0,0.25,3.5527643665942494,2.220563273076052,0.25,0.1666345624811859
